Location or Partner,Borough,On Street,From Street,To Street,Type,Open Date,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start,Sunday_End,Day of Week,Cool Streets
Sunset Park,Brooklyn,21st Street,3rd Avenue,7th Avenue,Temporary Limited Local Access,06/25/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
31st Ave Open Street Collective,Queens,31st Avenue,33rd Street,35th Street,Temporary Full Closure,07/24/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00PM,7:00PM,12:00PM,7:00PM,"S,U",
Sunnyside Woodside Open Streets,Queens,39th Avenue,45th Street,Woodside Avenue,Temporary Limited Local Access,05/14/2020,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,ALL,
Bayside Village Business Improvement District,Queens,41st Avenue,Bell Boulevard,214th Place,Temporary Full Closure,03/12/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:30PM,11:00PM,N/A,N/A,N/A,N/A,F,
Third Avenue Business Improvement District,Bronx,Alexander Avenue,Bruckner Boulevard,East 134th Street,Temporary Full Closure,08/14/2020,N/A,N/A,N/A,N/A,N/A,N/A,2:00PM,8:00PM,2:00PM,8:00PM,11:00AM,8:00PM,N/A,N/A,"R,F,S",
Park Slope 5th Avenue Business Improvement District,Brooklyn,4th Street,5th Avenue,4th Avenue,Temporary Limited Local Access,05/14/2020,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,N/A,N/A,"M,T,W,R,F,S",
Park Slope 5th Avenue Business Improvement District,Brooklyn,5th Avenue,Dean Street,Park Place,Temporary Full Closure,03/13/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,10:00PM,N/A,N/A,S,
Park Slope 5th Avenue Business Improvement District,Brooklyn,5th Avenue,President Street,5th Street,Temporary Full Closure,03/13/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,10:00PM,N/A,N/A,S,
Park Slope 5th Avenue Business Improvement District,Brooklyn,5th Avenue,10th Street,13th Street,Temporary Full Closure,03/13/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,10:00PM,N/A,N/A,S,
Belmont Business Improvement District,Bronx,Arthur Avenue,East 187th Street,Crescent Avenue,Temporary Full Closure,04/30/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6:00PM,10:00PM,6:00PM,10:00PM,1:00PM,9:00PM,"F,S,U",
Park Slope 5th Avenue Business Improvement District,Brooklyn,5th Avenue,Sterling Place,Berkely Place,Temporary Full Closure,03/13/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,10:00PM,N/A,N/A,S,
Meatpacking Business Improvement District,Manhattan,9th Avenue,West 14th Street,West 15th Street,Temporary Full Closure,07/03/2020,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,ALL,
New Dorp Business Improvement District,Staten Island,9th Street,New Dorp Lane,Rose Avenue,Temporary Full Closure,09/11/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7:00PM,11:00PM,6:00PM,11:00PM,6:00PM,11:00PM,"F,S,U",
Bayside Village Business Improvement District,Queens,Bell Boulevard,38th Avenue,41st Avenue,Temporary Full Closure,07/03/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:30PM,11:00PM,12:00PM,9:00PM,"S,U",
West 111th Street Block Association,Manhattan,Amsterdam Avenue,West 110th Street,West 111th Street,Temporary Full Closure,10/02/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7:00PM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,"F,S,U",Y
Columbus Amsterdam Business Improvement District,Manhattan,Amsterdam Avenue,West 106th Street,West 110th Street,Temporary Full Closure,11/17/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,8:30PM,11:00AM,8:30PM,"S,U",
303 Canary LLC,Manhattan,Broome Street,Forsyth Street,Eldridge Street,Temporary Full Closure,07/31/2020,N/A,N/A,4:30PM,12:00AM,4:30PM,12:00AM,4:30PM,12:00AM,4:30PM,12:00AM,12:30PM,12:00AM,12:30PM,12:00AM,"T,R,W,F,S,U",
Alliance for Downtown New York,Manhattan,Ann Street,Broadway,Nassau Street,Temporary Full Closure,09/04/2020,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,ALL,
Loisaida Open Streets Community Coalition,Manhattan,Avenue B,East 6th Street,East 14th Street,Temporary Limited Local Access,05/23/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
DUMBO Business Improvement District,Brooklyn,Main Street,Water Street,Plymouth Street,Temporary Full Closure,06/11/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,9:00PM,11:00AM,9:00PM,11:00AM,9:00PM,"F,S,U",
North Shore Esplande Park,Staten Island,Bank Street,Jersey Street,Parking Garage Driveway,Temporary Limited Local Access,05/14/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Asian American Federation,Queens,Barton Avenue,150th Street,149th Place,Temporary Limited Local Access,10/02/2020,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,11:00PM,9:00AM,11:00PM,9:00AM,9:00PM,ALL,
The Angiuli Group,Staten Island,Minthorne Street,Bay Street,Victory Boulevard,Temporary Full Closure,08/14/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:30PM,11:00PM,12:00PM,11:00PM,N/A,N/A,"F,S",
Jewish Community Council of the Rockaway Peninsula,Queens,Beach 12th Street,Central Avenue,Dinsmore Avenue,Temporary Limited Local Access,06/25/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8:00AM,8:00PM,N/A,N/A,S,
North Brooklyn Open Streets Community Coalition,Brooklyn,Berry Street,North 12th Street,Broadway,Temporary Limited Local Access,05/14/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Von Design Ltd.,Manhattan,Bleecker Street,Mott Street,Bowery,Temporary Full Closure,07/17/2020,N/A,N/A,N/A,N/A,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,"W,R,F,S,U",
il Buco,Manhattan,Bond Street,Lafayette Street,Bowery,Temporary Full Closure,07/31/2020,4:30PM,11:00PM,4:30PM,11:00PM,4:30PM,11:00PM,4:30PM,11:00PM,4:30PM,11:00PM,10:00AM,11:00PM,11:30AM,11:00PM,"M,T,W,R,F,S,U",
Casa Nomad Restaurant and Akin Hospitality Group,Manhattan,Broadway,West 29th Street,West 31st Street,Temporary Full Closure,08/14/2020,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,10:00AM,11:00PM,ALL,
